Eseménykörnyezet,Tantervi_hét,Tantervi_hét_szám
Fájl: DeepSeek AGI,1. hét,1
Fájl: EXTRA felatok - Pandas,1. hét,1
Fájl: EXTRA felatok - Pandas feladat adatai,1. hét,1
Fájl: Előadás anyaga,1. hét,1
Fájl: Idősorok,1. hét,1
Fájl: Iris_Data.csv,1. hét,1
Fájl: LLM,1. hét,1
Fájl: Pandas (ismétlés),1. hét,1
URL: A Kaggle egy site ahol számtalan gépi tanulási feladatot és hozzátartozó adatbázist érhetünk el.,1. hét,1
URL: Anaconda telepítés - Windows,1. hét,1
URL: Anaconda telepítése,1. hét,1
URL: Anaconda telepítése - MacOS,1. hét,1
URL: Bevezetés a Jupyter Notebook használatába,1. hét,1
URL: Iris_Data.csv (http://web.uni-corvinus.hu/~fszabina/data/Iris_Data.csv),1. hét,1
URL: Pandas gakorlat megoldása (Colab),1. hét,1
URL: Pandas gyakorlat (Colab),1. hét,1
Fájl: Klasszifikáció,2. hét,2
URL: EXTRA - Gyakorló feladatok,2. hét,2
URL: Klasszifikáció (Colab),2. hét,2
URL: Klasszifikáció (Gyakorló feladatok megoldása; Colab),2. hét,2
URL: Klasszifikáció adat Orange_Telecom_Churn_Data.csv,2. hét,2
Fájl: Modell értékelés (Racskó Péter),3. hét,3
"Fájl: Modellek általánosítása, regresszió",3. hét,3
URL: Legjobb regressziós modell kiválasztása,3. hét,3
URL: Modellek általánosítása; regresszió,3. hét,3
URL: Modellek általánosítása; regresszió (Gyakorló feladatok megoldás; Colab),3. hét,3
URL: Regresszió adat Ames_Housing_Sales.csv,3. hét,3
URL: Regresszió gyakorló feladat,3. hét,3
URL: Regresszió gyakorló feladat (megoldás),3. hét,3
URL: Train/test vágás,3. hét,3
URL: Túltanulás/alultanulás,3. hét,3
Fájl: Nem felügyelt gépi tanítás - Cluster,4. hét,4
URL: Csoportosítás  (Colab),4. hét,4
URL: Csoportosítás (Gyakorló feladat megoldása; Colab),4. hét,4
URL: Gyakorló feladat (zh-ra készülés) - Felügyelt tanulás,4. hét,4
URL: Gyakorló feladat (zh-ra készülés) - Felügyelt tanulás (megoldás),4. hét,4
Fájl: MintaZH - gyakolat (adatok),5. hét,5
Fájl: MintaZH - gyakorlat (feladatsor),5. hét,5
Fájl: Nem felügyelt gépi tanítás - Dimenzió csökkentés,5. hét,5
Teszt: MintaZH - elmélet,5. hét,5
URL: Dimenzió csökkentés (Colab),5. hét,5
URL: Gyakorló feladatok (ZH-ra készülés) - nem felügyelt gépi tanítás,5. hét,5
URL: Gyakorló feladatok (ZH-ra készülés) - nem felügyelt gépi tanítás (megoldás),5. hét,5
Fájl: Neurális hálózatok,7. hét,7
URL: Hogyan működik a neurális hálózat,7. hét,7
URL: How neural network works,7. hét,7
URL: Neurális hálózatok - Colab,7. hét,7
URL: Neurális hálózatok - Colab (megoldás),7. hét,7
URL: Playground - Neurális hálózatok,7. hét,7
URL: Practical Deep Learning,7. hét,7
Fájl: Természetes nyelvi feldolgozás alapjai,8. hét,8
URL: Magyar nyelvű szövegek előfeldolgozása,8. hét,8
URL: NLP - Colab,8. hét,8
URL: NLP - megoldás (Colab),8. hét,8
URL: NLP online könyv,8. hét,8
Fájl: ChatGPT+saját dokumentum,11. hét,11
Fájl: Chatbot.txt,11. hét,11
Fájl: Természetes nyelvi feldolgozás II,11. hét,11
URL: ChatGPT + saját dokumentum - Colab,11. hét,11
URL: Chatbot - Colab,11. hét,11
Fájl: Generatív AI alapjai - LSTM,12. hét,12
URL: Keras,12. hét,12
URL: Magyar női utónév generátor- Colab,12. hét,12
URL: Név generátor- Colab,12. hét,12
URL: Tensorflow,12. hét,12
URL: Utasszám előrejelzés (LSTM)- Colab,12. hét,12
Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Ismeretlen,
Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Ismeretlen,
Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Ismeretlen,
Feladat: Csoportos feladat és prezentáció,Ismeretlen,
Feladat: zh (2025.06.12),Ismeretlen,
Feladat: zh-A,Ismeretlen,
Feladat: zh-A (2025.06.04),Ismeretlen,
Feladat: zh-B,Ismeretlen,
Feladat: zh-B (2025.06.04),Ismeretlen,
Feladat: zh-C,Ismeretlen,
Feladat: zh-D,Ismeretlen,
Feladat: zh-E,Ismeretlen,
Feladat: zh-F,Ismeretlen,
Feladat: zh2-A,Ismeretlen,
Feladat: zh2-B,Ismeretlen,
Feladat: zh2-C,Ismeretlen,
Feladat: zh2-D,Ismeretlen,
Feladat: zh2-E,Ismeretlen,
Feladat: zh2-F,Ismeretlen,
Fájl: 2. feladat,Ismeretlen,
Fájl: Adat-A,Ismeretlen,
Fájl: Adat-B,Ismeretlen,
Fájl: Adat-C,Ismeretlen,
Fájl: Adat-D,Ismeretlen,
Fájl: Adat-E,Ismeretlen,
Fájl: Adat-F,Ismeretlen,
Fájl: Tantágyi tájékoztató,Ismeretlen,
Fájl: data-A,Ismeretlen,
Fájl: data-B,Ismeretlen,
Fájl: data-C,Ismeretlen,
Fájl: data-D,Ismeretlen,
Fájl: data-E,Ismeretlen,
Fájl: data-F,Ismeretlen,
Fájl: zh_A,Ismeretlen,
Fájl: zh_B,Ismeretlen,
Fájl: zh_adatok,Ismeretlen,
Jelenléti ív: G1 (Szerda 8:00-9:30; Fodor Szabina),Ismeretlen,
Jelenléti ív: G2 (Szerda 9:50-11:20; Sarró-Oláh Bernadett,Ismeretlen,
Jelenléti ív: G3 (Szerda 9:50-11:20; Fodor Szabina),Ismeretlen,
Jelenléti ív: G4 (Szerda 11:40-13:10; Sarro-Oláh Bernadett),Ismeretlen,
Teszt: Elmélet-2025.06.04,Ismeretlen,
Teszt: Elmélet-2025.06.12,Ismeretlen,
Teszt: Elmélet1,Ismeretlen,
Teszt: Elmélet2,Ismeretlen,
Teszt: Elmélet2_1,Ismeretlen,
Teszt: Elmélet2_2,Ismeretlen,
Teszt: Elmélet2_3,Ismeretlen,
Teszt: Elmélet3,Ismeretlen,
URL: Dimenzió csökkentés (Gyakoró feladat megoldása - Colab),Ismeretlen,
URL: Egyéni tanrendben hallgatók - vizsgaalkalma,Ismeretlen,
URL: Pontszámok - ZH1,Ismeretlen,
URL: Pontszámok - Összesített,Ismeretlen,
Mappa: Előadás anyagok,Nem kapcsolódik héthez,
Oldal: Előadások és gyakorlatok hanganyagai,Nem kapcsolódik héthez,
